"id","domena","baza","miasto","lat","lng","region","domenaupper","aktywna"
"2","augustowogloszenia.pl","augustow","Augustów","53.8434","22.9796","podlaskie","AugustowOgloszenia.pl","TAK"
"3","bartoszyceogloszenia.pl","bartoszyce","Bartoszyce","54.2533","20.8081","warmińsko-mazurskie","BartoszyceOgloszenia.pl","TAK"
"4","belchatowogloszenia.pl","belchatow","Bełchatów","51.3688","19.3564","łódzkie","BelchatowOgloszenia.pl","TAK"
"5","bialapodlaskaogloszenia.pl","bialapodlaska","Biała Podlaska","52.0387","23.1445","lubelskie","BialaPodlaskaOgloszenia.pl","TAK"
"6","bielawaogloszenia.pl","bielawa","Bielawa","50.6908","16.6229","dolnośląskie","BielawaOgloszenia.pl","TAK"
"7","bilgorajogloszenia.pl","bilgoraj","Biłgoraj","50.541","22.722","lubelskie","BilgorajOgloszenia.pl","TAK"
"8","boleslawiecogloszenia.pl","boleslawiec","Bolesławiec","51.2659","15.5657","dolnośląskie","BoleslawiecOgloszenia.pl","TAK"
"9","brzegogloszenia.pl","brzeg","Brzeg","50.8609","17.4668","opolskie","BrzegOgloszenia.pl","TAK"
"10","bydgoszczogloszenia.pl","bydgoszcz","Bydgoszcz","53.1235","18.0084","kujawsko-pomorskie","BydgoszczOgloszenia.pl","NIE"
"11","chelmogloszenia.pl","chelm","Chełm","51.1431","23.4712","lubelskie","ChelmOgloszenia.pl","TAK"
"12","chorzowogloszenia.pl","chorzow","Chorzów","50.2975","18.9546","śląskie","ChorzowOgloszenia.pl","TAK"
"13","ciechanowogloszenia.pl","ciechanow","Ciechanów","52.8815","20.6198","mazowieckie","CiechanowOgloszenia.pl","NIE"
"14","czestochowaogloszenia.pl","czestochowa","Częstochowa","50.8118","19.1203","śląskie","CzestochowaOgloszenia.pl","NIE"
"15","dzierzoniowogloszenia.pl","dzierzoniow","Dzierżoniów","50.7309","16.6568","dolnośląskie","DzierzoniowOgloszenia.pl","TAK"
"16","elkogloszenia.pl","elk","Ełk","53.8281","22.3647","warmińsko-mazurskie","ElkOgloszenia.pl","TAK"
"17","gliwiceogloszenia.pl","gliwice","Gliwice","50.2945","18.6714","śląskie","GliwiceOgloszenia.pl","NIE"
"18","gnieznoogloszenia.pl","gniezno","Gniezno","52.5349","17.5827","wielkopolskie","GnieznoOgloszenia.pl","TAK"
"19","gorzowogloszenia.pl","gorzow","Gorzów","52.7325","15.2369","lubuskie","GorzowOgloszenia.pl","NIE"
"20","gostynogloszenia.pl","gostyn","Gostyń","51.8786","17.0121","wielkopolskie","GostynOgloszenia.pl","TAK"
"21","grudziadzogloszenia.pl","grudziadz","Grudziądz","53.4837","18.7536","kujawsko-pomorskie","GrudziadzOgloszenia.pl","TAK"
"22","inowroclawogloszenia.pl","inowroclaw","Inowrocław","52.7993","18.2562","kujawsko-pomorskie","InowroclawOgloszenia.pl","NIE"
"23","jaroslawogloszenia.pl","jaroslaw","Jarosław","50.0161","22.6777","podkarpackie","JaroslawOgloszenia.pl","TAK"
"24","jasloogloszenia.pl","jaslo","Jasło","49.7446","21.4723","podkarpackie","JasloOgloszenia.pl","TAK"
"25","jeleniagoraogloszenia.pl","jeleniagora","Jelenia Góra","50.9044","15.7194","dolnośląskie","JeleniaGoraOgloszenia.pl","TAK"
"26","ketrzynogloszenia.pl","ketrzyn","Kętrzyn","54.0766","21.375","warmińsko-mazurskie","KetrzynOgloszenia.pl","TAK"
"27","kolobrzegogloszenia.pl","kolobrzeg","Kołobrzeg","54.1759","15.5833","zachodniopomorskie","KolobrzegOgloszenia.pl","TAK"
"28","koloogloszenia.pl","kolo","Koło","52.1999","18.6385","wielkopolskie","KoloOgloszenia.pl","TAK"
"29","koninogloszenia.pl","konin","Konin","52.223","18.2511","wielkopolskie","KoninOgloszenia.pl","TAK"
"30","koszalinogloszenia.pl","koszalin","Koszalin","54.1943","16.1715","zachodniopomorskie","KoszalinOgloszenia.pl","TAK"
"31","krasnikogloszenia.pl","krasnik","Kraśnik","50.9234","22.2264","lubelskie","KrasnikOgloszenia.pl","TAK"
"32","kwidzynogloszenia.pl","kwidzyn","Kwidzyn","53.7264","18.9323","pomorskie","KwidzynOgloszenia.pl","TAK"
"33","legionowoogloszenia.pl","legionowo","Legionowo","52.4044","20.95","mazowieckie","LegionowoOgloszenia.pl","TAK"
"34","legnicaogloszenia.pl","legnica","Legnica","51.207","16.1553","dolnośląskie","LegnicaOgloszenia.pl","TAK"
"35","lesznoogloszenia.pl","leszno","Leszno","51.842","16.5938","wielkopolskie","LesznoOgloszenia.pl","TAK"
"36","lodzogloszenia.pl","lodz","Łódź","51.7592","19.456","łódzkie","LodzOgloszenia.pl","NIE"
"37","lubartowogloszenia.pl","lubartow","Lubartów","51.4599","22.6095","lubelskie","LubartowOgloszenia.pl","TAK"
"38","lubinogloszenia.pl","lubin","Lubin","51.3977","16.2096","dolnośląskie","LubinOgloszenia.pl","TAK"
"39","lublinogloszenia.pl","lublin","Lublin","51.2465","22.5684","lubelskie","LublinOgloszenia.pl","NIE"
"40","malborkogloszenia.pl","malbork","Malbork","54.0361","19.038","pomorskie","MalborkOgloszenia.pl","TAK"
"41","nowysaczogloszenia.pl","nowysacz","Nowy Sącz","49.6175","20.7153","małopolskie","NowySaczOgloszenia.pl","TAK"
"42","ogloszeniaaleksandrow.pl","aleksandrow","Aleksandrów Kujawski","52.8762","18.6657","kujawsko-pomorskie","OgloszeniaAleksandrow.pl","NIE"
"43","ogloszeniabialystok.com","bialystok","Białystok","53.1325","23.1688","podlaskie","OgloszeniaBialystok.pl","NIE"
"44","ogloszeniabielsk.pl","bielsk","Bielsk Podlaski","52.7643","23.1552","podlaskie","OgloszeniaBielsk.pl","TAK"
"45","ogloszeniablonie.pl","blonie","Błonie","52.1985","20.617","mazowieckie","OgloszeniaBlonie.pl","NIE"
"46","ogloszeniabochnia.pl","bochnia","Bochnia","49.9685","20.4303","małopolskie","OgloszeniaBochnia.pl","TAK"
"47","ogloszeniabrodnica.pl","brodnica","Brodnica","53.26","19.3957","kujawsko-pomorskie","OgloszeniaBrodnica.pl","TAK"
"48","ogloszeniabrwinow.pl","brwinow","Brwinów","52.1476","20.7168","mazowieckie","OgloszeniaBrwinow.pl","TAK"
"49","ogloszeniachelmno.pl","chelmno","Chełmno","53.3484","18.425","kujawsko-pomorskie","OgloszeniaChelmno.pl","TAK"
"50","ogloszeniachojnice.com","chojnice","Chojnice","53.6944","17.5569","pomorskie","OgloszeniaChojnice.com","TAK"
"51","ogloszeniadabrowa.pl","dabrowa","Dąbrowa Górnicza","50.3217","19.1949","śląskie","OgloszeniaDabrowa.pl","NIE"
"52","ogloszeniadebica.com","debica","Dębica","50.0516","21.4117","podkarpackie","OgloszeniaDebica.com","TAK"
"53","ogloszeniadzialdowo.pl","dzialdowo","Działdowo","53.2357","20.18","warmińsko-mazurskie","OgloszeniaDzialdowo.pl","TAK"
"54","ogloszeniaelblag.com","elblag","Elbląg","54.1561","19.4045","warmińsko-mazurskie","OgloszeniaElblag.com","TAK"
"55","ogloszeniagdansk.com","gdansk","Gdańsk","54.352","18.6466","pomorskie","OgloszeniaGdansk.com","NIE"
"56","ogloszeniagdynia.com","gdynia","Gdynia","54.5189","18.5305","pomorskie","OgloszeniaGdynia.com","NIE"
"57","ogloszeniagizycko.pl","gizycko","Giżycko","54.0364","21.7667","warmińsko-mazurskie","OgloszeniaGizycko.pl","TAK"
"58","ogloszeniagrajewo.pl","grajewo","Grajewo","53.6472","22.4552","podlaskie","OgloszeniaGrajewo.pl","TAK"
"59","ogloszeniagrodzisk.pl","grodzisk","Grodzisk Mazowiecki","52.1005","20.6109","mazowieckie","OgloszeniaGrodzisk.pl","TAK"
"60","ogloszeniagryfino.pl","gryfino","Gryfino","53.2524","14.4882","zachodniopomorskie","OgloszeniaGryfino.pl","TAK"
"61","ogloszeniailawa.com","ilawa","Iława","53.596","19.5684","warmińsko-mazurskie","OgloszeniaIlawa.com","TAK"
"62","ogloszeniajarocin.pl","jarocin","Jarocin","51.9725","17.5019","wielkopolskie","OgloszeniaJarocin.pl","TAK"
"63","ogloszeniakalisz.com","kalisz","Kalisz","51.7673","18.0853","wielkopolskie","OgloszeniaKalisz.com","TAK"
"64","ogloszeniakatowice.com","katowice","Katowice","50.2649","19.0238","śląskie","OgloszeniaKatowice.com","NIE"
"65","ogloszeniakonskie.pl","konskie","Końskie","51.1915","20.4068","świętokrzyskie","OgloszeniaKonskie.pl","TAK"
"66","ogloszeniakoscian.pl","koscian","Kościan","52.0816","16.6385","wielkopolskie","OgloszeniaKoscian.pl","TAK"
"67","ogloszenialebork.pl","lebork","Lębork","54.5446","17.7533","pomorskie","OgloszeniaLebork.pl","TAK"
"68","ogloszenialeczna.pl","leczna","Łęczna","51.3009","22.8821","lubelskie","OgloszeniaLeczna.pl","TAK"
"69","ogloszenialomianki.pl","lomianki","Łomianki","52.3337","20.887","mazowieckie","OgloszeniaLomianki.pl","TAK"
"70","ogloszenialomza.com","lomza","Łomża","53.1781","22.059","podlaskie","OgloszeniaLomza.com","TAK"
"71","ogloszeniamielec.com","mielec","Mielec","50.2871","21.4238","podkarpackie","OgloszeniaMielec.com","TAK"
"72","ogloszeniamilanowek.pl","milanowek","Milanówek","52.1185","20.6716","mazowieckie","OgloszeniaMilanowek.pl","TAK"
"73","ogloszeniaminsk.pl","minsk","Mińsk Mazowiecki","52.1793","21.5721","mazowieckie","OgloszeniaMinsk.pl","TAK"
"74","ogloszeniamlawa.pl","mlawa","Mława","53.1123","20.3837","mazowieckie","OgloszeniaMlawa.pl","TAK"
"75","ogloszeniamragowo.pl","mragowo","Mrągowo","53.8642","21.3049","warmińsko-mazurskie","OgloszeniaMragowo.pl","TAK"
"76","ogloszeniamszczonow.pl","mszczonow","Mszczonów","51.982","20.5216","mazowieckie","OgloszeniaMszczonow.pl","NIE"
"77","ogloszeniamyszkow.pl","myszkow","Myszków","50.5707","19.3145","śląskie","OgloszeniaMyszkow.pl","TAK"
"78","ogloszenianadarzyn.pl","nadarzyn","Nadarzyn","52.0672","20.7925","mazowieckie","OgloszeniaNadarzyn.pl","NIE"
"79","ogloszenianysa.com","nysa","Nysa","50.4823","17.3296","opolskie","OgloszeniaNysa.com","TAK"
"80","ogloszeniaolesnica.com","olesnica","Oleśnica","51.2134","17.3899","dolnośląskie","OgloszeniaOlesnica.com","TAK"
"81","ogloszeniaozarow.pl","ozarow","Ożarów Mazowiecki","52.2124","20.7935","mazowieckie","OgloszeniaOzarow.pl","TAK"
"82","ogloszeniaozorkow.pl","ozorkow","Ozorków","51.9633","19.2914","łódzkie","OgloszeniaOzorkow.pl","TAK"
"83","ogloszeniapiastow.pl","piastow","Piastów","52.1845","20.84","mazowieckie","OgloszeniaPiastow.pl","TAK"
"84","ogloszeniapiekary.pl","piekary","Piekary Śląskie","50.3759","18.908","śląskie","OgloszeniaPiekary.pl","TAK"
"85","ogloszeniaplock.com","plock","Płock","52.5463","19.7065","mazowieckie","OgloszeniaPlock.com","TAK"
"86","ogloszeniapodkowa.pl","podkowa","Podkowa Leśna","52.1214","20.7279","mazowieckie","OgloszeniaPodkowa.pl","NIE"
"87","ogloszeniapruszcz.pl","pruszcz","Pruszcz Gdański","53.3194","18.2125","pomorskie","OgloszeniaPruszcz.pl","TAK"
"88","ogloszeniaprzemysl.com","przemysl","Przemyśl","49.7839","22.7678","podkarpackie","OgloszeniaPrzemysl.com","TAK"
"89","ogloszeniaradom.com","radom","Radom","51.4027","21.1471","mazowieckie","OgloszeniaRadom.com","NIE"
"90","ogloszeniaskarzysko.pl","skarzysko","Skarżysko-Kamienna","51.1143","20.8478","świętokrzyskie","OgloszeniaSkarzysko.pl","TAK"
"91","ogloszeniaskierniewice.pl","skierniewice","Skierniewice","51.9547","20.1583","łódzkie","OgloszeniaSkierniewice.pl","TAK"
"92","ogloszeniaskawina.pl","skawina","Skawina","49.9752","19.8289","małopolskie","OgloszeniaSkawina.pl","TAK"
"93","ogloszeniasrem.pl","srem","Śrem","52.0887","17.0151","wielkopolskie","OgloszeniaSrem.pl","TAK"
"94","ogloszeniasroda.pl","sroda","Środa Wielkopolska","52.2291","17.2761","wielkopolskie","OgloszeniaSroda.pl","TAK"
"95","ogloszeniastarachowice.pl","starachowice","Starachowice","51.0368","21.071","świętokrzyskie","OgloszeniaStarachowice.pl","TAK"
"96","ogloszeniastarogard.pl","starogard","Starogard Gdański","53.9656","18.5163","pomorskie","OgloszeniaStarogard.pl","TAK"
"97","ogloszeniaswiebodzin.pl","swiebodzin","Świebodzin","52.2473","15.5336","lubuskie","OgloszeniaSwiebodzin.pl","TAK"
"98","ogloszeniaswiecie.pl","swiecie","Świecie","53.4094","18.4474","kujawsko-pomorskie","OgloszeniaSwiecie.pl","TAK"
"99","ogloszeniaszczytno.pl","szczytno","Szczytno","53.5635","20.9952","warmińsko-mazurskie","OgloszeniaSzczytno.pl","TAK"
"100","ogloszeniatarnobrzeg.com","tarnobrzeg","Tarnobrzeg","50.5729","21.6791","podkarpackie","OgloszeniaTarnobrzeg.com","TAK"
"101","ogloszeniatychy.com","tychy","Tychy","50.1218","19.02","śląskie","OgloszeniaTychy.com","TAK"
"102","ogloszeniawagrowiec.pl","wagrowiec","Wągrowiec","52.8085","17.1997","wielkopolskie","OgloszeniaWagrowiec.pl","TAK"
"103","ogloszeniawolomin.pl","wolomin","Wołomin","52.3391","21.2423","mazowieckie","OgloszeniaWolomin.pl","TAK"
"104","ogloszeniawroclaw.com","wroclaw","Wrocław","51.1079","17.0385","dolnośląskie","OgloszeniaWroclaw.com","NIE"
"105","ogloszeniawyszkow.pl","wyszkow","Wyszków","52.5929","21.4584","mazowieckie","OgloszeniaWyszkow.pl","TAK"
"106","ogloszeniazakopane.com","zakopane","Zakopane","49.2992","19.9496","małopolskie","OgloszeniaZakopane.com","TAK"
"107","ogloszeniazambrow.pl","zambrow","Zambrów","52.985","22.2414","podlaskie","OgloszeniaZambrow.pl","TAK"
"108","olawaogloszenia.pl","olawa","Oława","50.9459","17.2924","dolnośląskie","OlawaOgloszenia.pl","TAK"
"109","olkuszogloszenia.pl","olkusz","Olkusz","50.2813","19.5657","małopolskie","OlkuszOgloszenia.pl","TAK"
"110","olsztynogloszenia.pl","olsztyn","Olsztyn","53.7784","20.4801","warmińsko-mazurskie","OlsztynOgloszenia.pl","TAK"
"111","opoleogloszenia.pl","opole","Opole","50.6751","17.9213","opolskie","OpoleOgloszenia.pl","TAK"
"112","ostrodaogloszenia.pl","ostroda","Ostróda","53.6963","19.9648","warmińsko-mazurskie","OstrodaOgloszenia.pl","TAK"
"113","ostrolekaogloszenia.pl","ostroleka","Ostrołęka","53.0877","21.5593","mazowieckie","OstrolekaOgloszenia.pl","TAK"
"114","ostrowiecogloszenia.pl","ostrowiec","Ostrowiec Świętokrzyski","50.9295","21.3852","świętokrzyskie","OstrowiecOgloszenia.pl","NIE"
"115","ostrowogloszenia.pl","ostrow","Ostrów Wielkopolski","51.65","17.8157","wielkopolskie","OstrowOgloszenia.pl","TAK"
"116","ogloszeniaostrow.pl","ostrow2","Ostrów Mazowiecka","52.8025","21.8948","wielkopolskie","OgloszeniaOstrow.pl","TAK"
"117","otwockogloszenia.pl","otwock","Otwock","52.1053","21.2616","mazowieckie","OtwockOgloszenia.pl","TAK"
"118","pabianiceogloszenia.pl","pabianice","Pabianice","51.6567","19.3578","łódzkie","PabianiceOgloszenia.pl","TAK"
"119","piasecznoogloszenia.pl","piaseczno","Piaseczno","52.0812","21.0239","mazowieckie","PiasecznoOgloszenia.pl","TAK"
"120","pilaogloszenia.pl","pila","Piła","53.151","16.7382","wielkopolskie","PilaOgloszenia.pl","TAK"
"121","piotrkowogloszenia.pl","piotrkow","Piotrków Trybunalski","51.4052","19.703","łódzkie","PiotrkowOgloszenia.pl","NIE"
"122","plonskogloszenia.pl","plonsk","Płońsk","52.623","20.3754","mazowieckie","PlonskOgloszenia.pl","TAK"
"123","polkowiceogloszenia.pl","polkowice","Polkowice","51.5025","16.062","dolnośląskie","PolkowiceOgloszenia.pl","TAK"
"124","poznanogloszenia.pl","poznan2","Poznań2","52.4064","16.9252","wielkopolskie","PoznanOgloszenia.pl","NIE"
"125","pruszkowogloszenia.pl","pruszkow","Pruszków","52.1705","20.8119","mazowieckie","PruszkowOgloszenia.pl","TAK"
"126","pulawyogloszenia.pl","pulawy","Puławy","51.4164","21.9693","lubelskie","PulawyOgloszenia.pl","TAK"
"127","raciborzogloszenia.pl","raciborz","Racibórz","50.0915","18.2199","śląskie","RaciborzOgloszenia.pl","TAK"
"128","radomskoogloszenia.pl","radomsko","Radomsko","51.0669","19.4449","łódzkie","RadomskoOgloszenia.pl","TAK"
"129","rybnikogloszenia.pl","rybnik","Rybnik","50.1022","18.5463","śląskie","RybnikOgloszenia.pl","TAK"
"130","rzeszowogloszenia.com","rzeszow","Rzeszów","50.0412","21.9991","podkarpackie","RzeszowOgloszenia.com","NIE"
"131","sanokogloszenia.pl","sanok","Sanok","49.555","22.2061","podkarpackie","SanokOgloszenia.pl","TAK"
"132","siedlceogloszenia.pl","siedlce","Siedlce","52.1676","22.2902","mazowieckie","SiedlceOgloszenia.pl","TAK"
"133","slupskogloszenia.pl","slupsk","Słupsk","54.4641","17.0285","pomorskie","SlupskOgloszenia.pl","TAK"
"134","sochaczewogloszenia.pl","sochaczew","Sochaczew","52.2293","20.2384","mazowieckie","SochaczewOgloszenia.pl","TAK"
"135","sopotogloszenia.pl","sopot","Sopot","54.4416","18.5601","pomorskie","SopotOgloszenia.pl","TAK"
"136","stalowawolaogloszenia.pl","stalowawola","Stalowa Wola","50.5826","22.0536","podkarpackie","StalowaWolaOgloszenia.pl","NIE"
"137","suwalkiogloszenia.pl","suwalki","Suwałki","54.1115","22.9308","podlaskie","SuwalkiOgloszenia.pl","TAK"
"138","swidnicaogloszenia.pl","swidnica","Świdnica","50.8498","16.4757","dolnośląskie","SwidnicaOgloszenia.pl","TAK"
"139","swidnikogloszenia.pl","swidnik","Świdnik","51.2168","22.6914","lubelskie","SwidnikOgloszenia.pl","TAK"
"140","szczecinekogloszenia.pl","szczecinek","Szczecinek","53.7101","16.6994","zachodniopomorskie","SzczecinekOgloszenia.pl","TAK"
"141","tarnowogloszenia.com","tarnow","Tarnów","50.0121","20.9858","małopolskie","TarnowOgloszenia.com","TAK"
"142","tczewogloszenia.pl","tczew","Tczew","54.0919","18.7773","pomorskie","TczewOgloszenia.pl","TAK"
"143","tomaszowogloszenia.pl","tomaszow","Tomaszów Mazowiecki","51.5312","20.0086","łódzkie","TomaszowOgloszenia.pl","TAK"
"144","torunogloszenia.pl","torun","Toruń","53.0138","18.5984","kujawsko-pomorskie","TorunOgloszenia.pl","NIE"
"145","turekogloszenia.pl","turek","Turek","52.0146","18.5009","wielkopolskie","TurekOgloszenia.pl","TAK"
"146","tychyogloszenia.pl","tychypl","Tychy","50.1218","19.02","śląskie","TychyOgloszenia.pl","TAK"
"147","walbrzychogloszenia.pl","walbrzych","Wałbrzych","50.784","16.2844","dolnośląskie","WalbrzychOgloszenia.pl","TAK"
"148","walczogloszenia.pl","walcz","Wałcz","53.2735","16.4753","zachodniopomorskie","WalczOgloszenia.pl","TAK"
"149","warszawaogloszenia.com","warszawa","Warszawa","52.2297","21.0122","mazowieckie","WarszawaOgloszenia.com","NIE"
"150","wloclawekogloszenia.pl","wloclawek","Włocławek","52.6483","19.0677","kujawsko-pomorskie","WloclawekOgloszenia.pl","TAK"
"151","zamoscogloszenia.pl","zamosc","Zamość","50.7231","23.252","lubelskie","ZamoscOgloszenia.pl","TAK"
"152","zawiercieogloszenia.pl","zawiercie","Zawiercie","50.4877","19.4166","śląskie","ZawiercieOgloszenia.pl","NIE"
"153","zgierzogloszenia.pl","zgierz","Zgierz","51.8551","19.4061","łódzkie","ZgierzOgloszenia.pl","TAK"
"154","zgorzelecogloszenia.pl","zgorzelec","Zgorzelec","51.1496","15.0066","dolnośląskie","ZgorzelecOgloszenia.pl","TAK"
"155","zielonagoraogloszenia.pl","zielonagora","Zielona Góra","51.9356","15.5062","lubuskie","ZielonaGoraOgloszenia.pl","TAK"
"156","zywiecogloszenia.pl","zywiec","Żywiec","49.6913","19.1824","śląskie","ZywiecOgloszenia.pl","TAK"
"157","ogloszeniazary.pl","zary","Żary","51.642","15.137","lubuskie","OgloszeniaZary.pl","TAK"
"158","bielskobialaogloszenia.pl","bielskobiala","Bielsko-Biała","49.8224","19.0584","śląskie","BielskoBialaOgloszenia.pl","TAK"
"159","bytomogloszenia.pl","bytom","Bytom","50.3484","18.9157","śląskie","BytomOgloszenia.pl","TAK"
"160","kielceogloszenia.pl","kielce","Kielce","50.8661","20.6286","świętokrzyskie","KielceOgloszenia.pl","NIE"
"161","krakowogloszenia.com","krakow","Kraków","50.0647","19.945","małopolskie","KrakowOgloszenia.com","NIE"
"162","ogloszeniakrosno.com","krosno","Krosno","49.6825","21.7661","podkarpackie","OgloszeniaKrosno.com","TAK"
"163","ogloszeniaszczecin.com","szczecin","Szczecin","53.4285","14.5528","zachodniopomorskie","OgloszeniaSzczecin.com","NIE"
"164","sandomierzogloszenia.pl","sandomierz","Sandomierz","50.6822","21.7502","świętokrzyskie","SandomierzOgloszenia.pl","TAK"
"165","sieradzogloszenia.pl","sieradz","Sieradz","51.5956","18.7303","łódzkie","SieradzOgloszenia.pl","NIE"
"166","sosnowiecogloszenia.pl","sosnowiec","Sosnowiec","50.2863","19.1041","śląskie","SosnowiecOgloszenia.pl","NIE"
"167","swarzedzogloszenia.pl","swarzedz","Swarzędz","52.4125","17.0856","wielkopolskie","SwarzedzOgloszenia.pl","TAK"
"168","swinoujscieogloszenia.pl","swinoujscie","Świnoujście","53.91","14.2476","zachodniopomorskie","SwinoujscieOgloszenia.pl","TAK"
"169","wrzesniaogloszenia.pl","wrzesnia","Września","52.3238","17.5665","wielkopolskie","WrzesniaOgloszenia.pl","TAK"
"170","zabrzeogloszenia.pl","zabrze","Zabrze","50.3249","18.7857","śląskie","ZabrzeOgloszenia.pl","NIE"
"171","trew.pl","trew","Trew","51.9194","19.1451","Mazowieckie","trew.pl","NIE"
"172","obornikiogloszenia.pl","oborniki","Oborniki","52.6449","16.8142","wielkopolskie","ObornikiOgloszenia.pl","TAK"
"173","bedzinogloszenia.pl","bedzin","Będzin","50.3356","19.0889","śląskie","BedzinOgloszenia.pl","TAK"
"174","bialobrzegiogloszenia.pl","bialobrzegi","Białobrzegi","51.6454","20.9539","mazowieckie","BialobrzegiOgloszenia.pl","NIE"
"175","bialogardogloszenia.pl","bialogard","Białogard","54.0104","15.9404","zachodniopomorskie","BialogardOgloszenia.pl","NIE"
"176","bierunogloszenia.pl","bierun","Bieruń","50.0841","19.1066","śląskie","BierunOgloszenia.pl","TAK"
"177","braniewoogloszenia.pl","braniewo","Braniewo","54.3797","19.8201","warmińsko-mazurskie","BraniewoOgloszenia.pl","TAK"
"178","brzeskoogloszenia.pl","brzesko","Brzesko","49.9745","20.5937","małopolskie","BrzeskoOgloszenia.pl","TAK"
"179","brzezinyogloszenia.pl","brzeziny","Brzeziny","51.8008","19.7144","łódzkie","BrzezinyOgloszenia.pl","NIE"
"180","brzozowogloszenia.pl","brzozow","Brzozów","49.6973","22.0126","podkarpackie","BrzozowoOgloszenia.pl","NIE"
"181","buskozdrojogloszenia.pl","buskozdroj","Busko-Zdrój","50.4704","20.7192","świętokrzyskie","BuskoZdrojOgloszenia.pl","NIE"
"182","bytowogloszenia.pl","bytow","Bytów","54.1689","17.4923","pomorskie","BytowOgloszenia.pl","TAK"
"183","chodziezogloszenia.pl","chodziez","Chodzież","52.9951","16.8807","wielkopolskie","ChodziezOgloszenia.pl","NIE"
"184","choszcznoogloszenia.pl","choszczno","Choszczno","53.1688","15.4095","zachodniopomorskie","ChoszcznoOgloszenia.pl","TAK"
"185","chrzanowogloszenia.pl","chrzanow","Chrzanów","50.1288","19.3237","małopolskie","ChrzanowOgloszenia.pl","TAK"
"186","cieszynogloszenia.pl","cieszyn","Cieszyn","49.7558","18.6152","śląskie","CieszynOgloszenia.pl","TAK"
"187","czarnkowogloszenia.pl","czarnkow","Czarnków","52.9051","16.5625","wielkopolskie","CzarnkowOgloszenia.pl","NIE"
"188","czluchowogloszenia.pl","czluchow","Człuchów","53.6648","17.333","pomorskie","CzluchowOgloszenia.pl","TAK"
"189","dabrowatarnowskaogloszenia.pl","dabrowatarnowska","Dąbrowa Tarnowska","50.1697","20.9601","małopolskie","DabrowaTarnowskaOgloszenia.pl","TAK"
"190","drawskopomorskieogloszenia.pl","drawskopomorskie","Drawsko Pomorskie","53.5337","15.7745","zachodniopomorskie","DrawskoPomorskieOgloszenia.pl","NIE"
"191","garwolinogloszenia.pl","garwolin","Garwolin","51.8972","21.6149","warmińsko-mazurskie","GarwolinOgloszenia.pl","TAK"
